<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;<Russian>;<Polish>;<Czech>;<Turkish>;<Chinese>;<Japanese>;<Portuguese>;<Ukrainian>;<Serbian>;<Hungarian>;<Korean>;<Belarusian>;<Romanian>;<TChinese>;<HChinese>;<Vietnamese>
shop/group/yak-9_group;Jak-9 / 9B;;;;;;;;;;;;;;;;;;;;
shop/group/yak-3_group;Jak-3 / 9U;;;;;;;;;;;;;;;;;;;;
shop/group/yak-9tk_group;Jak-9T / K;;;;;;;;;;;;;;;;;;;;
shop/group/yak-3up_group;Jak-3U / 9UT;;;;;;;;;;;;;;;;;;;;
shop/group/yak-9up_group;Jak-3P / 9P;;;;;;;;;;;;;;;;;;;;
shop/group/yak-15_group;Jak-15 (1946) / 15 / 17;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
yak-1b_luftwaffe_shop;▀ Jak-1-127;;;;;;;;;;;;;;;;;;;;
yak-1b_luftwaffe_0;▀ Jak-1 série 127;;;;;;;;;;;;;;;;;;;;
yak-1b_luftwaffe_1;▀ Jak-1;;;;;;;;;;;;;;;;;;;;
yak-1b_luftwaffe_2;▀ Jak-1;;;;;;;;;;;;;;;;;;;;
yak-1b_shop;Jak-1-127;;;;;;;;;;;;;;;;;;;;
yak-1b_0;Jak-1 série 127;;;;;;;;;;;;;;;;;;;;
yak-1b_1;Jak-1-127;;;;;;;;;;;;;;;;;;;;
yak-1b_2;Jak-1;;;;;;;;;;;;;;;;;;;;
yak-1_early_shop;Jak-1-1;;;;;;;;;;;;;;;;;;;;
yak-1_early_0;Jak-1 série 1;;;;;;;;;;;;;;;;;;;;
yak-1_early_1;Jak-1;;;;;;;;;;;;;;;;;;;;
yak-1_early_2;Jak-1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
yak_2_kabb_shop;Jak-2 KABB;;;;;;;;;;;;;;;;;;;;
yak_2_kabb_0;Jak-2 KABB;;;;;;;;;;;;;;;;;;;;
yak_2_kabb_1;Jak-2 KABB;;;;;;;;;;;;;;;;;;;;
yak_2_kabb_2;Jak-2;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
yak-3_shop;Jak-3;;;;;;;;;;;;;;;;;;;;
yak-3_0;Jak-3;;;;;;;;;;;;;;;;;;;;
yak-3_1;Jak-3;;;;;;;;;;;;;;;;;;;;
yak-3_2;Jak-3;;;;;;;;;;;;;;;;;;;;
yak-3_eremin_shop;Yerëmin's Jak-3;;;;;;;;;;;;;;;;;;;;
yak-3_eremin_0;Boris Nikolayevič Yerëmin's Jak-3;;;;;;;;;;;;;;;;;;;;
yak-3_eremin_1;Jak-3;;;;;;;;;;;;;;;;;;;;
yak-3_eremin_2;Jak-3;;;;;;;;;;;;;;;;;;;;
yak-3_vk107_shop;Jak-3 (VK-107A);;;;;;;;;;;;;;;;;;;;
yak-3_vk107_0;Jak-3 (VK-107A);;;;;;;;;;;;;;;;;;;;
yak-3_vk107_1;Jak-3;;;;;;;;;;;;;;;;;;;;
yak-3_vk107_2;Jak-3;;;;;;;;;;;;;;;;;;;;
yak-3_france_shop;☨ Jak-3;;;;;;;;;;;;;;;;;;;;
yak-3_france_0;☨ Jak-3;;;;;;;;;;;;;;;;;;;;
yak-3_france_1;☨ Jak-3;;;;;;;;;;;;;;;;;;;;
yak-3_france_2;☨ Jak-3;;;;;;;;;;;;;;;;;;;;
yak-3t_shop;Jak-3T;;;;;;;;;;;;;;;;;;;;
yak-3t_0;Jak-3T;;;;;;;;;;;;;;;;;;;;
yak-3t_1;Jak-3T;;;;;;;;;;;;;;;;;;;;
yak-3t_2;Jak-3;;;;;;;;;;;;;;;;;;;;
yak-3u_shop;Jak-3U;;;;;;;;;;;;;;;;;;;;
yak-3u_0;Jak-3U;;;;;;;;;;;;;;;;;;;;
yak-3u_1;Jak-3U;;;;;;;;;;;;;;;;;;;;
yak-3u_2;Jak-3;;;;;;;;;;;;;;;;;;;;
yak-3p_shop;Jak-3P;;;;;;;;;;;;;;;;;;;;
yak-3p_0;Jak-3P;;;;;;;;;;;;;;;;;;;;
yak-3p_1;Jak-3P;;;;;;;;;;;;;;;;;;;;
yak-3p_2;Jak-3;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
yak-4_shop;Jak-4;;;;;;;;;;;;;;;;;;;;
yak-4_0;Jak-4;;;;;;;;;;;;;;;;;;;;
yak-4_1;Jak-4;;;;;;;;;;;;;;;;;;;;
yak-4_2;Jak-4;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
yak-7b_shop;Jak-7B;;;;;;;;;;;;;;;;;;;;
yak-7b_0;Jak-7B;;;;;;;;;;;;;;;;;;;;
yak-7b_1;Jak-7B;;;;;;;;;;;;;;;;;;;;
yak-7b_2;Jak-7;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
yak-9u_shop;Jak-9U;;;;;;;;;;;;;;;;;;;;
yak-9u_0;Jak-9U;;;;;;;;;;;;;;;;;;;;
yak-9u_1;Jak-9U;;;;;;;;;;;;;;;;;;;;
yak-9u_2;Jak-9;;;;;;;;;;;;;;;;;;;;
yak-9ut_shop;Jak-9UT;;;;;;;;;;;;;;;;;;;;
yak-9ut_0;Jak-9UT;;;;;;;;;;;;;;;;;;;;
yak-9ut_1;Jak-9UT;;;;;;;;;;;;;;;;;;;;
yak-9ut_2;Jak-9;;;;;;;;;;;;;;;;;;;;
yak-9_shop;Jak-9;;;;;;;;;;;;;;;;;;;;
yak-9_0;Jak-9;;;;;;;;;;;;;;;;;;;;
yak-9_1;Jak-9;;;;;;;;;;;;;;;;;;;;
yak-9_2;Jak-9;;;;;;;;;;;;;;;;;;;;
yak-9m_shop;Galavačoŭ's Jak-9M;;;;;;;;;;;;;;;;;;;;
yak-9m_0;Pavyel Yakaŭlyevìč Galavačoŭ's Jak-9M;;;;;;;;;;;;;;;;;;;;
yak-9m_1;Jak-9M;;;;;;;;;;;;;;;;;;;;
yak-9m_2;Jak-9;;;;;;;;;;;;;;;;;;;;
yak-9b_shop;Jak-9B;;;;;;;;;;;;;;;;;;;;
yak-9b_0;Jak-9B;;;;;;;;;;;;;;;;;;;;
yak-9b_1;Jak-9;;;;;;;;;;;;;;;;;;;;
yak-9b_2;Jak-9;;;;;;;;;;;;;;;;;;;;
yak-9t_shop;Jak-9T;;;;;;;;;;;;;;;;;;;;
yak-9t_0;Jak-9T;;;;;;;;;;;;;;;;;;;;
yak-9t_1;Jak-9T;;;;;;;;;;;;;;;;;;;;
yak-9t_2;Jak-9;;;;;;;;;;;;;;;;;;;;
yak-9t_france_shop;☨ Challe's Jak-9T;;;;;;;;;;;;;;;;;;;;
yak-9t_france_0;☨ René Challe's Jak-9T;;;;;;;;;;;;;;;;;;;;
yak-9t_france_1;☨ Jak-9T;;;;;;;;;;;;;;;;;;;;
yak-9t_france_2;☨ Jak-9;;;;;;;;;;;;;;;;;;;;
yak-9p_shop;Jak-9P;;;;;;;;;;;;;;;;;;;;
yak-9p_0;Jak-9P;;;;;;;;;;;;;;;;;;;;
yak-9p_1;Jak-9P;;;;;;;;;;;;;;;;;;;;
yak-9p_2;Jak-9;;;;;;;;;;;;;;;;;;;;
yak-9p_hungary_shop;◔ Jak-9P;;;;;;;;;;;;;;;;;;;;
yak-9p_hungary_0;◔ Jak-9P;;;;;;;;;;;;;;;;;;;;
yak-9p_hungary_1;◔ Jak-9P;;;;;;;;;;;;;;;;;;;;
yak-9p_hungary_2;◔ Jak-9;;;;;;;;;;;;;;;;;;;;
yak-9k_shop;Jak-9K;;;;;;;;;;;;;;;;;;;;
yak-9k_0;Jak-9K;;;;;;;;;;;;;;;;;;;;
yak-9k_1;Jak-9K;;;;;;;;;;;;;;;;;;;;
yak-9k_2;Jak-9;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
yak-15_shop;Jak-15 (1947);;;;;;;;;;;;;;;;;;;;
yak-15_0;Jak-15 (1947);;;;;;;;;;;;;;;;;;;;
yak-15_1;Jak-15;;;;;;;;;;;;;;;;;;;;
yak-15_2;Jak-15;;;;;;;;;;;;;;;;;;;;
yak-15_early_shop;Jak-15 (1946);;;;;;;;;;;;;;;;;;;;
yak-15_early_0;Jak-15 (1946);;;;;;;;;;;;;;;;;;;;
yak-15_early_1;Jak-15;;;;;;;;;;;;;;;;;;;;
yak-15_early_2;Jak-15;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
yak-17_shop;Jak-17;;;;;;;;;;;;;;;;;;;;
yak-17_0;Jak-17;;;;;;;;;;;;;;;;;;;;
yak-17_1;Jak-17;;;;;;;;;;;;;;;;;;;;
yak-17_2;Jak-17;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
yak-23_shop;Jak-23;;;;;;;;;;;;;;;;;;;;
yak-23_0;Jak-23;;;;;;;;;;;;;;;;;;;;
yak-23_1;Jak-23;;;;;;;;;;;;;;;;;;;;
yak-23_2;Jak-23;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
yak-28b_shop;Jak-28B;;;;;;;;;;;;;;;;;;;;
yak-28b_0;Jak-28B;;;;;;;;;;;;;;;;;;;;
yak-28b_1;Jak-28B;;;;;;;;;;;;;;;;;;;;
yak-28b_2;Jak-28;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
yak-30d_shop;Jak-30D;;;;;;;;;;;;;;;;;;;;
yak-30d_0;Jak-30D;;;;;;;;;;;;;;;;;;;;
yak-30d_1;Jak-30D;;;;;;;;;;;;;;;;;;;;
yak-30d_2;Jak-30;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
yak-38_shop;Jak-38;;;;;;;;;;;;;;;;;;;;
yak-38_0;Jak-38;;;;;;;;;;;;;;;;;;;;
yak-38_1;Jak-38;;;;;;;;;;;;;;;;;;;;
yak-38_2;Jak-38;;;;;;;;;;;;;;;;;;;;
yak-38m_shop;Jak-38M;;;;;;;;;;;;;;;;;;;;
yak-38m_0;Jak-38M;;;;;;;;;;;;;;;;;;;;
yak-38m_1;Jak-38M;;;;;;;;;;;;;;;;;;;;
yak-38m_2;Jak-38;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
yak_141_shop;Jak-141;;;;;;;;;;;;;;;;;;;;
yak_141_0;izd. 48M | Jak-141;;;;;;;;;;;;;;;;;;;;
yak_141_1;Jak-141;;;;;;;;;;;;;;;;;;;;
yak_141_2;Jak-141;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
kor_1_shop;Be-2;;;;;;;;;;;;;;;;;;;;
kor_1_0;Be-2;;;;;;;;;;;;;;;;;;;;
kor_1_1;Be-2;;;;;;;;;;;;;;;;;;;;
kor_1_2;Be-2;;;;;;;;;;;;;;;;;;;;
be_6_shop;Be-6;;;;;;;;;;;;;;;;;;;;
be_6_0;Be-6;;;;;;;;;;;;;;;;;;;;
be_6_1;Be-6;;;;;;;;;;;;;;;;;;;;
be_6_2;Be-6;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
shop/group/pe-2_early_group;Pe-2-1 / 31 / 83;;;;;;;;;;;;;;;;;;;;
shop/group/pe-2_late_group;Pe-2-110 / 359;;;;;;;;;;;;;;;;;;;;
shop/group/pe-3_group;Pe-3-1 / 2;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
pe-2_shop;Pe-2;;;;;;;;;;;;;;;;;;;;
pe-2_0;Pe-2 Peška;;;;;;;;;;;;;;;;;;;;
pe-2_1;Pe-2;;;;;;;;;;;;;;;;;;;;
pe-2_2;Pe-2;;;;;;;;;;;;;;;;;;;;
pe-2-1_shop;Pe-2-1;;;;;;;;;;;;;;;;;;;;
pe-2-1_0;Pe-2 série 1 Peška;;;;;;;;;;;;;;;;;;;;
pe-2-1_1;Pe-2;;;;;;;;;;;;;;;;;;;;
pe-2-1_2;Pe-2;;;;;;;;;;;;;;;;;;;;
pe-2-31_shop;Pe-2-31;;;;;;;;;;;;;;;;;;;;
pe-2-31_0;Pe-2 série 31 Peška;;;;;;;;;;;;;;;;;;;;
pe-2-31_1;Pe-2-31;;;;;;;;;;;;;;;;;;;;
pe-2-31_2;Pe-2;;;;;;;;;;;;;;;;;;;;
pe-2-83_shop;Pe-2-83;;;;;;;;;;;;;;;;;;;;
pe-2-83_0;Pe-2 série 83 Peška;;;;;;;;;;;;;;;;;;;;
pe-2-83_1;Pe-2-83;;;;;;;;;;;;;;;;;;;;
pe-2-83_2;Pe-2;;;;;;;;;;;;;;;;;;;;
pe-2-110_shop;Pe-2-110;;;;;;;;;;;;;;;;;;;;
pe-2-110_0;Pe-2 série 110 Peška;;;;;;;;;;;;;;;;;;;;
pe-2-110_1;Pe-2-110;;;;;;;;;;;;;;;;;;;;
pe-2-110_2;Pe-2;;;;;;;;;;;;;;;;;;;;
pe-2-205_shop;Pe-2-205;;;;;;;;;;;;;;;;;;;;
pe-2-205_0;Pe-2 série 205 Peška;;;;;;;;;;;;;;;;;;;;
pe-2-205_1;Pe-2-205;;;;;;;;;;;;;;;;;;;;
pe-2-205_2;Pe-2;;;;;;;;;;;;;;;;;;;;
pe-2-359_shop;Pe-2-359;;;;;;;;;;;;;;;;;;;;
pe-2-359_0;Pe-2 série 359 Peška;;;;;;;;;;;;;;;;;;;;
pe-2-359_1;Pe-2-359;;;;;;;;;;;;;;;;;;;;
pe-2-359_2;Pe-2;;;;;;;;;;;;;;;;;;;;
pe-2-359_china_shop;␗ Pe-2-359;;;;;;;;;;;;;;;;;;;;
pe-2-359_china_0;␗ Pe-2 série 359 Peška;;;;;;;;;;;;;;;;;;;;
pe-2-359_china_1;␗ Pe-2-359;;;;;;;;;;;;;;;;;;;;
pe-2-359_china_2;␗ Pe-2;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
pe-3_shop;Pe-3-2;;;;;;;;;;;;;;;;;;;;
pe-3_0;Pe-3 série 2;;;;;;;;;;;;;;;;;;;;
pe-3_1;Pe-3-2;;;;;;;;;;;;;;;;;;;;
pe-3_2;Pe-3;;;;;;;;;;;;;;;;;;;;
pe-3_bis_shop;Pe-3bis;;;;;;;;;;;;;;;;;;;;
pe-3_bis_0;Pe-3bis;;;;;;;;;;;;;;;;;;;;
pe-3_bis_1;Pe-3bis;;;;;;;;;;;;;;;;;;;;
pe-3_bis_2;Pe-3;;;;;;;;;;;;;;;;;;;;
pe-3_early_shop;Pe-3-1;;;;;;;;;;;;;;;;;;;;
pe-3_early_0;Pe-3 série 1;;;;;;;;;;;;;;;;;;;;
pe-3_early_1;Pe-3-1;;;;;;;;;;;;;;;;;;;;
pe-3_early_2;Pe-3;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
pe-8_m82_shop;Pe-8;;;;;;;;;;;;;;;;;;;;
pe-8_m82_0;Pe-8;;;;;;;;;;;;;;;;;;;;
pe-8_m82_1;Pe-8;;;;;;;;;;;;;;;;;;;;
pe-8_m82_2;Pe-8;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
lagg-3-1_0;LaGG-3 série 1;;;;;;;;;;;;;;;;;;;;
lagg-3-11_0;LaGG-3 série 11;;;;;;;;;;;;;;;;;;;;
lagg-3-23_0;LaGG-3 série 23;;;;;;;;;;;;;;;;;;;;
lagg-3-29_0;LaGG-3 série 29;;;;;;;;;;;;;;;;;;;;
lagg-3-34_0;LaGG-3 série 34;;;;;;;;;;;;;;;;;;;;
lagg-3-4_0;LaGG-3 série 4;;;;;;;;;;;;;;;;;;;;
lagg-3-66_0;LaGG-3 série 66;;;;;;;;;;;;;;;;;;;;
lagg-3-8_0;LaGG-3 série 8;;;;;;;;;;;;;;;;;;;;
lagg-3-35_0;LaGG-3 série 35;;;;;;;;;;;;;;;;;;;;
la-5fn_0;La-5 Tip 41, série 34;;;;;;;;;;;;;;;;;;;;
la-5_type37_early_0;La-5 Tip 37, série 8;;;;;;;;;;;;;;;;;;;;
la-7_dolgushin_0;Sergej Fëdorovič Dolgušin's La-7;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
tu-2_postwar_0;Tu-2S série 44;;;;;;;;;;;;;;;;;;;;
tu-2_postwar_late_0;Tu-2S série 59;;;;;;;;;;;;;;;;;;;;
tu-2_postwar_china_0;␗ Tu-2S série 44;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
mig_3_series_1_15_0;MiG-3 série 15;;;;;;;;;;;;;;;;;;;;
mig_3_series_1_15_bk_pod_0;MiG-3 série 15 (UBK);;;;;;;;;;;;;;;;;;;;
mig_3_series_34_0;MiG-3 série 34;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
i-15bis_krasnolutsky_0;Mitrofan Petrovič Krasnoluczkij's I-15bis;;;;;;;;;;;;;;;;;;;;
i-153_m62_zhukovskiy_0;Sergej Yakovlevič Žukovskij's I-153 (AŠ-62);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
su_25_558arz_0;"▂ 558-j Aviaczionnyj Remontnyj Zavod | Su-25 ""Grač""";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
hurricanemkii_ussr_shop;▂ Kharrikejna F.B. MK-IIb (ŠVAK);;;;;;;;;;;;;;;;;;;;
hurricanemkii_ussr_0;▂ Kharrikejna F.B. MK-IIb (ŠVAK);;;;;;;;;;;;;;;;;;;;
hurricanemkii_ussr_1;▂ Kharrikejna F.B. MK-II;;;;;;;;;;;;;;;;;;;;
hurricanemkii_ussr_2;▂ Kharrikejna;;;;;;;;;;;;;;;;;;;;
hp52_hampden_tbmk1_ussr_utk1_shop;▂ Khempdenov T.B. MK-I (UTK-1);;;;;;;;;;;;;;;;;;;;
hp52_hampden_tbmk1_ussr_utk1_0;▂ Khempdenov T.B. MK-I (UTK-1);;;;;;;;;;;;;;;;;;;;
hp52_hampden_tbmk1_ussr_utk1_1;▂ Khempdenov T.B. MK-I;;;;;;;;;;;;;;;;;;;;
hp52_hampden_tbmk1_ussr_utk1_2;▂ Khempdenov;;;;;;;;;;;;;;;;;;;;
p-39n_su_0;▂ Aleksándr Ivánovič Pokrýškin's P-39N-0-BE Aerokobra;;;;;;;;;;;;;;;;;;;;
b_25j_30_vvs_ussr_0;▂ B-25J-30-NC Mitčell;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_t_10a_0;Objekt 731 | T-10A obr. 1956 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_10m_0;Objekt 734 | T-10M obr. 1967 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_26_1940_1st_GvTBr_0;T-26-1 | T-26 obr. 1940 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_34_1940_l_11_0;Objekt 34 | T-34 (pilot model);;;;;;;;;;;;;;;;;;;;
ussr_t_34_1941_cast_turret_0;Objekt 34 | T-34 obr. 1941 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_34_1941_0;Objekt 34 | T-34 obr. 1941 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_34_1941_l_11_0;Objekt 34 | T-34 obr. 1940 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_34_1941_57_0;Objekt 34 | T-34 obr. 1941 g. (May, 1941) (ZiS-4);;;;;;;;;;;;;;;;;;;;
ussr_t_34_1942_0;Objekt 34 | T-34 obr. 1942 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_34_57_1943_0;Objekt 34 | T-34 obr. 1942 g. (September, 1942) (ZiS-4M);;;;;;;;;;;;;;;;;;;;
ussr_t_34E_STZ_0;Objekt 34 | T-34 obr. 1941 g. (Ekranirovanyj);;;;;;;;;;;;;;;;;;;;
ussr_t_34E_0;Objekt 34 | T-34 obr. 1941 g. (Ekranirovanyj);;;;;;;;;;;;;;;;;;;;
ussr_t_34_85_d_5t_0;Objekt 35 | T-34-85 obr. 1944 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_34_85_zis_53_0;Objekt 35 | T-34-85 obr. 1944 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_34_85E_0;Objekt 35 | T-34-85 obr. 1944 g. (Ekranirovanyj);;;;;;;;;;;;;;;;;;;;
ussr_t_34_100_0;Objekt 35 | T-34-100 (LB-1);;;;;;;;;;;;;;;;;;;;
cn_t_34_85_d_5t_0;␗ Objekt 35 | Т-34-85 (S-53);;;;;;;;;;;;;;;;;;;;
cn_t_34_85_zis_53_no215_0;␗ Objekt 35 | T-34-85;;;;;;;;;;;;;;;;;;;;
cn_type_58_0;␗ Objekt 35 | Type 58 (Т-34-85);;;;;;;;;;;;;;;;;;;;
cn_t_34_1942_0;␗ Objekt 34 | T-34 (1942);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_t_44_0;Objekt 136 | T-44;;;;;;;;;;;;;;;;;;;;
ussr_t_44_100_0;Objekt 136 | T-44-100;;;;;;;;;;;;;;;;;;;;
ussr_t_44_122_0;Objekt 136 | T-44-122;;;;;;;;;;;;;;;;;;;;
ussr_t_54_1947_0;Objekt 137-I | T-54-1 | T-54 obr. 1947 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_54_1949_0;Objekt 137-II | T-54-2 | T-54 obr. 1949 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_54_1951_0;Objekt 137-III | T-54-1 | T-54 obr. 1951 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_60_1941_0;Objekt 0-60 | T-60 obr. 1942 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_62_0;Objekt 166 | T-62 obr. 1964 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_62m1_0;Objekt 166M-1 | T-62M-1;;;;;;;;;;;;;;;;;;;;
